stat,name,value
alpha,centrality,0.7527894089178497
alpha,connection,0.6547154316057104
alpha,family,0.7271219193675054
alpha,interdependent,0.8302096962718721
alpha,public,0.8499894488563362
alpha,private,0.8679742686950553
alpha,skills,0.6408734712613529
alpha,total,0.9128445393055604
omega,centrality,0.7476380338706097
omega,connection,0.6634416966922886
omega,family,0.7314586185943227
omega,interdependent,0.8375013408297728
omega,public,0.854888453401763
omega,private,0.8780365166035502
omega,skills,0.6134752233140972
omega,total,0.9342946099761545
omega2,centrality,0.7476380338706097
omega2,connection,0.6634416966922885
omega2,family,0.7314586185943229
omega2,interdependent,0.8375013408297729
omega2,public,0.854888453401763
omega2,private,0.8780365166035502
omega2,skills,0.6134752233140971
omega2,total,0.9342946099761551
omega3,centrality,0.7332359243708986
omega3,connection,0.6628427176534591
omega3,family,0.7346894142218319
omega3,interdependent,0.8405775612179922
omega3,public,0.854657607588404
omega3,private,0.8876338664444486
omega3,skills,0.592905882769034
omega3,total,0.901561977349844
avevar,centrality,0.431566398516775
avevar,connection,0.40329960537033877
avevar,family,0.47651310468801344
avevar,interdependent,0.4344656140968275
avevar,public,0.5998092860414639
avevar,private,0.5184137449369549
avevar,skills,0.3477708000985552
avevar,total,0.4562409385802406
